Timestamp,Група,Робота із Python,Робота із табличними даними,Платформа Google Colab/Kaggle ,"Лінійна регресія (least-squares, Ridge/Lasso)","kNN (nearest neighbors, метод найближчих сусідів)",Decision Trees - дерева рішень,SVM - метод опорних векторів,"Ансамблеві алгоритми (random forest, xgboost, lightgbm)",Нейронні мережі (deep learning),Оцінювання якості алгоритмів,Computer vision - комп'ютерний зір,"NLP - language processing, обробки мови і текстів","Очікування від курсу (що хотіли би вивчити, на яких темах поставити акцент)",Чи хотіли би ви брати участь у проектах по машинному навчанню в супутникових даних?
2023-09-04 09:10:03.249,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)",Знаю постановку задачі та користуюсь класами із sklearn,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Можу самостійно реалізовувати свої мережі, або донавчати існуючі архітектури в Pytorch/Tensorflow","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Стикаюсь вперше, не працював із текстами","Хотів би поглибитись в Computer Vision, працювати з OpenCV через її складність та розглянути задачі класичного комп. віжну без нейронок, можливо навіть на прикладі",поки не впевнений
2023-09-04 09:10:23.467,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Все, з чим стикаюся вперше",так
2023-09-04 09:14:40.324,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код","Можу самостійно реалізувати ""from scratch""",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Отримати базові знання, які потрібні для роботи data analyst, можливо data science",поки не впевнений
2023-09-04 09:14:48.492,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хочу поглибити свої знання, дізнатись більше про компʼютерний зір, попрацювати з алгоритмами ",поки не впевнений
2023-09-04 09:32:30.505,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Стикаюсь вперше, не працював із текстами","Все хотілося би вивчити, але все і одразу неможливо) Тому було б цікаво подивитися на мовні моделі, попрацювати з обробкою зображень, нейронні мережі ",так
2023-09-04 10:19:43.837,"ФФ-01, ФФ-03",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Зрозуміти основи, і почати розбиратися в темах, які запропоновані курсом, так як раніше не робила майже нічого з запропонованого в опитуванні",поки не впевнений
2023-09-04 11:44:23.548,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)","Можу самостійно реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Знайомий із перцептроном, можу користуватись MLP із sklearn","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Стикаюсь вперше, не працював із зображеннями","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази","Дуже б хотілося прикладних задач із області computer vision та time series (підходи із використанням глибокого навчання, а не статистичних методів)",так
2023-09-04 12:11:35.408,"ФІ-03, ФІ-04","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Хотіла б більше познайомитися з методами машинного навчання (особливо з нейронними мережами та повторити відомі алгоритми та методи пов‘язані з даними,поки не впевнений
2023-09-04 15:21:55.277,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код","Можу самостійно реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Користуюсь класами із sklearn на базових параметрах,"Розумію алгоритм, можу реалізувати ""from scratch""",Стикаюсь вперше,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами","Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Знайомий із OpenCV (знаходити контури, дескриптори зображень, морф-операції)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Хочу закрити пробіли в знаннях з класичних алгоритмів машинного навчання, детальніше розглянути Image Segmentation, Time series forecasting",поки не впевнений
2023-09-04 21:17:41.373,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Хотів би ознайомитись з методами машинного навчання, оскільки зовсім не орієнтуюсь у цій темі",ні
2023-09-04 21:23:14.583,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","очікую що цей курс допоможе мені розвинути навички, необхідні для вирішення реальних завдань у світі машинного навчання. (відповідь допоміг надати GPT-3.5)",ні
2023-09-04 21:23:36.148,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Далекий час для себе зрозумів, що будь-яка айті діяльність - не моє:) Саме тому більше року розвиваюсь в HR. З цього такі очікування: вміти робити базові речі, щоб розуміти, про що говорять досвідчені люди і могти розібратись самому.",ні
2023-09-04 21:26:14.473,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Хочу більш поглиблено вивчати цю сферу,так
2023-09-04 21:28:38.059,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",-,поки не впевнений
2023-09-04 21:39:53.213,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)","Можу самостійно реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Можу самостійно реалізовувати свої мережі, або донавчати існуючі архітектури в Pytorch/Tensorflow","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок",Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Знайомий із класичним NLP, також знаю складніші фреймворки для обробки текстів (nltk, spacy, gensim, transformers)",DL,поки не впевнений
2023-09-04 21:53:34.858,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Виходить, очікую познайомитись з пунктами, на які відповів ""стикаюсь вперше"" 🤓
Бажано ""для маленьких і дурних з нуля"" 🤓",поки не впевнений
2023-09-04 22:08:37.538,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)","Можу самостійно реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Користуюсь класами із sklearn на базових параметрах,"Розумію алгоритм, можу реалізувати ""from scratch""","Можу самостійно реалізовувати свої мережі, або донавчати існуючі архітектури в Pytorch/Tensorflow","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок",Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Знайомий із класичним NLP, також знаю складніші фреймворки для обробки текстів (nltk, spacy, gensim, transformers)","Хотів би закріпити свої знання у машинному навчанні, а також покращити знання по деяким алгоритмам, для прикладу svm",поки не впевнений
2023-09-04 22:25:53.533,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Поки не знаю :),поки не впевнений
2023-09-04 23:24:01.298,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","хотілось би почати з бази, щоб надалі розвинути свої навички на міцній основі)",поки не впевнений
2023-09-05 08:28:30.450,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хотів би вивчити статистичне машинне навчання, а також ази нейронних мереж",так
2023-09-05 10:31:47.961,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Покращити свої знаття),так
2023-09-05 14:14:52.686,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,"Знайомий із перцептроном, можу користуватись MLP із sklearn",Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хочу розібратись в темі настільки, щоб я міг писати ШІ на будь-який випадок життя. ",поки не впевнений
2023-09-05 21:58:12.874,"ФФ-01, ФФ-03","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)",Стикаюсь вперше,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази",Пробийте,так
2023-09-06 11:41:59.244,"ФІ-03, ФІ-04","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Цікавить технологія комп'ютерного зору,поки не впевнений
2023-09-06 11:46:24.546,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Усе,ні
