Timestamp,–ì—Ä—É–ø–∞,–†–æ–±–æ—Ç–∞ —ñ–∑ Python,–†–æ–±–æ—Ç–∞ —ñ–∑ —Ç–∞–±–ª–∏—á–Ω–∏–º–∏ –¥–∞–Ω–∏–º–∏,–ü–ª–∞—Ç—Ñ–æ—Ä–º–∞ Google Colab/Kaggle ,"–õ—ñ–Ω—ñ–π–Ω–∞ —Ä–µ–≥—Ä–µ—Å—ñ—è (least-squares, Ridge/Lasso)","kNN (nearest neighbors, –º–µ—Ç–æ–¥ –Ω–∞–π–±–ª–∏–∂—á–∏—Ö —Å—É—Å—ñ–¥—ñ–≤)",Decision Trees - –¥–µ—Ä–µ–≤–∞ —Ä—ñ—à–µ–Ω—å,SVM - –º–µ—Ç–æ–¥ –æ–ø–æ—Ä–Ω–∏—Ö –≤–µ–∫—Ç–æ—Ä—ñ–≤,"–ê–Ω—Å–∞–º–±–ª–µ–≤—ñ –∞–ª–≥–æ—Ä–∏—Ç–º–∏ (random forest, xgboost, lightgbm)",–ù–µ–π—Ä–æ–Ω–Ω—ñ –º–µ—Ä–µ–∂—ñ (deep learning),–û—Ü—ñ–Ω—é–≤–∞–Ω–Ω—è —è–∫–æ—Å—Ç—ñ –∞–ª–≥–æ—Ä–∏—Ç–º—ñ–≤,Computer vision - –∫–æ–º–ø'—é—Ç–µ—Ä–Ω–∏–π –∑—ñ—Ä,"NLP - language processing, –æ–±—Ä–æ–±–∫–∏ –º–æ–≤–∏ —ñ —Ç–µ–∫—Å—Ç—ñ–≤","–û—á—ñ–∫—É–≤–∞–Ω–Ω—è –≤—ñ–¥ –∫—É—Ä—Å—É (—â–æ —Ö–æ—Ç—ñ–ª–∏ –±–∏ –≤–∏–≤—á–∏—Ç–∏, –Ω–∞ —è–∫–∏—Ö —Ç–µ–º–∞—Ö –ø–æ—Å—Ç–∞–≤–∏—Ç–∏ –∞–∫—Ü–µ–Ω—Ç)",–ß–∏ —Ö–æ—Ç—ñ–ª–∏ –±–∏ –≤–∏ –±—Ä–∞—Ç–∏ —É—á–∞—Å—Ç—å —É –ø—Ä–æ–µ–∫—Ç–∞—Ö –ø–æ –º–∞—à–∏–Ω–Ω–æ–º—É –Ω–∞–≤—á–∞–Ω–Ω—é –≤ —Å—É–ø—É—Ç–Ω–∏–∫–æ–≤–∏—Ö –¥–∞–Ω–∏—Ö?
2023-09-06 11:47:06.580,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Хотів би поглибити свої знання у роботі з даними, їх обробкою, трохи більше розібратись з opencv ну і взагальному зачепити щось нове з програмування :)",поки не впевнений
2023-09-06 11:49:00.846,"ФІ-03, ФІ-04","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Поглибити знання у області машинного навчання,так
2023-09-06 11:49:39.966,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами",Стикаюсь вперше,Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","tensorflow, computer vision. Брав участь у проекті по машинному навчанню на супутникових даних (навчання моделі ідентифікувати об'єкти земної поверхні). Моєю мотивацією для обрання цього курсу було бажання дізнатися більше про машинне навчання та навчитися його інтеграції у контексті кібербезпеки та розвідки.",так
2023-09-06 11:50:38.825,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Нейронні мережі, комп'ютерний зір, NLP",поки не впевнений
2023-09-06 13:27:12.458,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Знайомий із фреймворками для DL (Pytorch, Tensorflow), можу користуватись навченими мережами","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок","Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази","хотів би добре вивчити NLP, так як ця тема цікавить мене найбільше",поки не впевнений
2023-09-06 14:39:34.468,"ФІ-01, ФІ-02",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Навчитися працювати із зображеннями та нейронними мережами, поглибити знання з обробки текстів",так
2023-09-06 14:44:39.930,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","ML, DL, Computer vision",так
2023-09-06 17:55:58.126,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,"Знайомий із перцептроном, можу користуватись MLP із sklearn","Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Поки ще не знаю, потрібно зрозуміти предмет",поки не впевнений
2023-09-06 17:56:40.178,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Що пропонується курсом то й буду вивчати, головне щоб цікаво було ",поки не впевнений
2023-09-06 18:00:13.120,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,"Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Мої очікування від курсу: освоїти ті тем, з якими я вперше зустрічаюсь, та набратися досвіду у темах, з якими я вже зустрічався.",поки не впевнений
2023-09-06 18:07:01.770,"ФБ-06, ФЕ-01","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із перцептроном, можу користуватись MLP із sklearn",Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Знаю про підходи ""bag-of-words"", ""TF-IDF"", також регулярні вирази",Я готов на любий варіант),поки не впевнений
2023-09-06 18:12:47.501,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Найбільше цікавить тема нейронних мереж,поки не впевнений
2023-09-06 18:17:22.861,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Стикаюсь вперше, не працював із текстами","Сподіваюсь що згадаю те, що намагались вкласти в голову на МТАД про пандас, датасети і алгоритми з ними пов'язаними, але в чомусь вже більш зрозумілому і видимому, а не просто знайдіть і реалізуйте алгоритм, але якщо є щось цікавіше за аналіз датасетів то було б дуже добре ",поки не впевнений
2023-09-06 18:17:46.722,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хотіла б ознайомитися з основами декількох напрямків потроху, оскільки маю занадто мало досвіду, щоб знати, що цікавить більше.",поки не впевнений
2023-09-06 18:57:51.449,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",Хочу повторити навички які здобув під час 1-3 курсу. Хочу здобути нові навички (вивчити нові теми),поки не впевнений
2023-09-06 21:43:32.855,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Поглибити знання машинного навчання, які саме теми не знаю",поки не впевнений
2023-09-07 04:02:30.654,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,"Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Є надії, що курс буде цікавий,  а матеріал актуальний. Цікавою буде будь-яка з перелічених тем",поки не впевнений
2023-09-07 10:09:25.066,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із OpenCV (можу завантажити зображення, відобразити його, конвертування кольорів тощо)","Стикаюсь вперше, не працював із текстами",Все,так
2023-09-07 13:51:57.787,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Поглибити знання з тих питань/тем, з якими не працювали раніше",так
2023-09-07 16:22:26.190,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Судячи з наданих питань, по машинному навчанню тем досить буде)",поки не впевнений
2023-09-08 09:10:48.225,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",очікую базових знань. нескладних лабораторних.,ні
2023-09-08 10:43:25.655,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Зацікавлений більше дізнатися про DL і методи його імплементації на пітоні,так
2023-09-08 10:56:00.911,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Цікава тема машинного навчання. як перспективний напрямок, хотів би опанувати реалізовування алгоритмів під різні задачі, з конкретного - планую на дипломну роботу писати алгоритм визначення аномалій логів SIEM систем з подальшою їх категоризацією",поки не впевнений
2023-09-08 13:09:41.118,"ФБ-06, ФЕ-01",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом",Стикаюсь вперше,Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)","Вважаю що machine learning є дуже актуальною темою, але водночас дуже складною, потребує багато терпіння та навичок програмування і розуміння алгоритмів, математики.",поки не впевнений
2023-09-08 13:15:54.202,"ФБ-06, ФЕ-01","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Ознайомлення з основними напрямками ML, класичними алгоритмами регресії, кластеризації та ін., ознайомлення з іншими технологіями (наприклад, OpenCV)",поки не впевнений
2023-09-11 16:42:55.717,"ФІ-01, ФІ-02",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Дізнатися більше про машинне навчання і його методи.,поки не впевнений
2023-09-11 22:42:55.989,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Я хотів би, якщо звісно вийде, зробити програму, що могла б розпізнавати використані музичні техніки у композиціях. Знаю одне, що для цього мені дуже потрібно буде в найкоротші терміни розібратись із NLP.",так
2023-09-12 02:36:48.208,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Покращити знання,поки не впевнений
2023-09-12 10:54:07.623,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,"Знайомий із перцептроном, можу користуватись MLP із sklearn","Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Нейронні мережі, комп’ютерний зір",так
